id,title_ru,title_ua,is_sortable,is_visible,order,value
1,Фото,Фото,1,1,0,photo
2,Наименование,Наименование,1,1,0,short_title
3,Артикул,Артикул,1,1,1,sku
4,Ед.изм,Ед.изм,1,1,0,units
5,ID,ID,1,1,0,convert_id
6,Остаток,Остаток,1,1,0,balance
7,Цена закупочная,Цена закупочная,1,1,0,price_1
8,Цена розничная,Цена розничная,1,1,0,price_2
9,Цена оптовая,Цена оптовая,1,1,0,price_3
