id,title_ru,title_ua,is_sortable,is_visible,value
1,Код,Код,1,1,id
2,Город/Населенный пункт,Місто/Населений пункт,1,1,city
3,Область,Область,1,1,region
4,Страна,Країна,1,1,country
5,Индекс,індекс,1,1,zip_code
